tag,timestamp,desc,backend,path,batch,cache,method,elapsed_mean_s,elapsed_min_s,elapsed_median_s,reps,bytes,throughput_MB_s,shape,dtype,hash,ok,error
baseline,2026-06-18T20:44:53.210848+00:00,baseline: naive per-frame read_frame + np.stack + H2D,nd2-rs,/store1/prj_rim/data_raw/2023-06-03-11.nd2,1,cold,naive_stack,0.0012465076482233901,0.001209512003697455,0.001255510956980288,3,273056,219.05681877618522,1x2x212x322,uint16,b8c1ba0e2d72b2867ce22bb3962f213e,True,
baseline,2026-06-18T20:44:53.210848+00:00,baseline: naive per-frame read_frame + np.stack + H2D,nd2-rs,/store1/prj_rim/data_raw/2023-06-03-11.nd2,8,warm,naive_stack,0.0024899586220271885,0.0024719530483707786,0.0024892000365071,5,2184448,877.3029321352905,8x2x212x322,uint16,67addd194307e9021c38d5fd7555a48f,True,
baseline,2026-06-18T20:44:53.210848+00:00,baseline: naive per-frame read_frame + np.stack + H2D,nd2-rs,/store1/prj_rim/data_raw/2023-06-03-11.nd2,8,cold,naive_stack,0.008737581005940834,0.008033860998693854,0.008893685997463763,3,2184448,250.0060369700442,8x2x212x322,uint16,67addd194307e9021c38d5fd7555a48f,True,
baseline,2026-06-18T20:44:53.210848+00:00,baseline: naive per-frame read_frame + np.stack + H2D,nd2-rs,/store1/prj_rim/data_raw/2023-06-03-11.nd2,16,warm,naive_stack,0.005248161603230983,0.0052190819988027215,0.005238211015239358,5,4368896,832.4621706218667,16x2x212x322,uint16,e9a632155fb56221cfcedce7f927fbc0,True,
baseline,2026-06-18T20:44:53.210848+00:00,baseline: naive per-frame read_frame + np.stack + H2D,nd2-rs,/store1/prj_rim/data_raw/2023-06-03-11.nd2,16,cold,naive_stack,0.019425199328300852,0.017693049972876906,0.020017061033286154,3,4368896,224.90868310601542,16x2x212x322,uint16,e9a632155fb56221cfcedce7f927fbc0,True,
baseline,2026-06-18T20:44:53.210848+00:00,baseline: naive per-frame read_frame + np.stack + H2D,nd2-rs,/store1/prj_rim/data_raw/2023-06-03-11.nd2,32,warm,naive_stack,0.011235277797095478,0.011002373008523136,0.011238157982006669,5,8737792,777.7103653154777,32x2x212x322,uint16,d860e56188aced9813599207c5ea1a45,True,
baseline,2026-06-18T20:44:53.210848+00:00,baseline: naive per-frame read_frame + np.stack + H2D,nd2-rs,/store1/prj_rim/data_raw/2023-06-03-11.nd2,32,cold,naive_stack,0.03986013733083382,0.03844235499855131,0.03959809598745778,3,8737792,219.2112868924031,32x2x212x322,uint16,d860e56188aced9813599207c5ea1a45,True,
baseline,2026-06-18T20:44:53.210848+00:00,baseline: naive per-frame read_frame + np.stack + H2D,nd2-rs,/store1/prj_rim/data_raw/2023-06-03-11.nd2,64,warm,naive_stack,0.022660815576091408,0.022353089996613562,0.022686331998556852,5,17475584,771.1807168334155,64x2x212x322,uint16,8ffc1dd0c888fbe22f07be18fcb3fcab,True,
baseline,2026-06-18T20:44:53.210848+00:00,baseline: naive per-frame read_frame + np.stack + H2D,nd2-rs,/store1/prj_rim/data_raw/2023-06-03-11.nd2,64,cold,naive_stack,0.07476183832235013,0.07157970796106383,0.07484723097877577,3,17475584,233.75005741098337,64x2x212x322,uint16,8ffc1dd0c888fbe22f07be18fcb3fcab,True,
baseline,2026-06-18T20:44:53.210848+00:00,baseline: naive per-frame read_frame + np.stack + H2D,nd2-rs,/store1/prj_rim/data_raw/2023-06-03-11.nd2,128,warm,naive_stack,0.044672901812009516,0.04422509501455352,0.04434220201801509,5,34951168,782.3796212540641,128x2x212x322,uint16,a7fbf8e34e3bb19c3aea3969ad609543,True,
baseline,2026-06-18T20:44:53.210848+00:00,baseline: naive per-frame read_frame + np.stack + H2D,nd2-rs,/store1/prj_rim/data_raw/2023-06-03-11.nd2,128,cold,naive_stack,0.14645917166490108,0.14069351396756247,0.1485130520304665,3,34951168,238.6410328741197,128x2x212x322,uint16,a7fbf8e34e3bb19c3aea3969ad609543,True,
optA,2026-06-18T20:45:17.337258+00:00,Opt A: one Rust call packs batch into contiguous buffer; GPU de-interleave,pypi-nd2,/store1/prj_rim/data_raw/2023-06-02-03.nd2,1,warm,naive_stack,0.00010106260888278484,9.724701521918178e-05,9.973003761842847e-05,5,273056,2701.849902931932,1x2x212x322,uint16,068958289b6a668e1e2f79e779da5bce,True,
optA,2026-06-18T20:45:17.337258+00:00,Opt A: one Rust call packs batch into contiguous buffer; GPU de-interleave,pypi-nd2,/store1/prj_rim/data_raw/2023-06-02-03.nd2,1,cold,naive_stack,0.0018305840203538537,0.0018038669950328767,0.0018259300268255174,3,273056,149.16332545458252,1x2x212x322,uint16,068958289b6a668e1e2f79e779da5bce,True,
optA,2026-06-18T20:45:17.337258+00:00,Opt A: one Rust call packs batch into contiguous buffer; GPU de-interleave,pypi-nd2,/store1/prj_rim/data_raw/2023-06-02-03.nd2,8,warm,naive_stack,0.002340071205981076,0.002324742032214999,0.0023377419565804303,5,2184448,933.4963801172747,8x2x212x322,uint16,41c44ecbaee719c66c8b704ff27167e9,True,
optA,2026-06-18T20:45:17.337258+00:00,Opt A: one Rust call packs batch into contiguous buffer; GPU de-interleave,pypi-nd2,/store1/prj_rim/data_raw/2023-06-02-03.nd2,8,cold,naive_stack,0.0053653986542485654,0.005241605977062136,0.005399302986916155,3,2184448,407.1361963514594,8x2x212x322,uint16,41c44ecbaee719c66c8b704ff27167e9,True,
optA,2026-06-18T20:45:17.337258+00:00,Opt A: one Rust call packs batch into contiguous buffer; GPU de-interleave,pypi-nd2,/store1/prj_rim/data_raw/2023-06-02-03.nd2,16,warm,naive_stack,0.005034513585269451,0.004966610984411091,0.005029225954785943,5,4368896,867.7890973982095,16x2x212x322,uint16,b65d134ef330922bad7a0935e5d9df20,True,
optA,2026-06-18T20:45:17.337258+00:00,Opt A: one Rust call packs batch into contiguous buffer; GPU de-interleave,pypi-nd2,/store1/prj_rim/data_raw/2023-06-02-03.nd2,16,cold,naive_stack,0.015101093333214521,0.014915166946593672,0.014941966044716537,3,4368896,289.30991310349094,16x2x212x322,uint16,b65d134ef330922bad7a0935e5d9df20,True,
